topic,question,answer,explanation
Amniotes,What is an amniote?,A reptile including birds or a mammal with an amniotic egg.,Amniotic eggs allowed vertebrates to reproduce on land.
Amniotes,What is the amnion?,A membrane that protects the embryo.,The amnion surrounds and cushions the embryo.
Amniotes,What is the advantage of an eggshell?,Reduces water loss.,The shell helps embryos survive on land.
Amniotes,What happened to the shell in most mammals?,It was lost.,Most mammals no longer lay shelled eggs.
Amniotes,Why do amniotes have more efficient breathing?,Because of the rib cage.,The rib cage improves lung ventilation.
Amniotes,Why are amniotes less dependent on gas exchange through the skin?,They have efficient lungs and a rib cage.,They rely mainly on lungs for respiration.
Amniotes,Why did amniote skin become less permeable?,To decrease water loss.,This adaptation helped life on land.
Reptiles,What covers reptile skin?,Keratin scales.,Scales reduce water loss.
Reptiles,How do reptiles reproduce?,Internal fertilization followed by egg laying.,Typical reptile reproduction in the review notes.
Reptiles,Are most reptiles ectothermic or endothermic?,Ectothermic.,They depend on environmental heat.
Reptiles,How do reptiles regulate body temperature?,By changing their behavior.,They move between sun and shade.
Reptiles,What are birds classified as in the review notes?,Reptiles.,The review includes birds within reptiles.
Reptiles,What did snakes descend from?,Limbed lizards.,This evolutionary relationship is listed in the review notes.
Birds,Are birds ectothermic or endothermic?,Endothermic.,Birds generate their own body heat.
Birds,Why do birds require more food?,To support their high metabolism.,Endothermy requires more energy.
Birds,Name one weight-saving adaptation of birds.,Air-filled bones.,Lighter bones make flight easier.
Birds,What organ do birds lack to reduce weight?,Urinary bladder.,Not storing liquid urine reduces body weight.
Birds,What are bird wings made of according to the review?,Keratin.,The review describes birds as having keratin wings.
Birds,What body opening do birds have?,Cloaca.,"A cloaca serves the digestive, urinary, and reproductive systems."
Mammals,What are the main characteristics of mammals?,"Mammary glands, hair, fat for insulation, and endothermy.",These are the defining mammalian traits.
Mammals,What do mammary glands produce?,Milk.,Milk nourishes the young.
Mammals,Why do mammals have hair?,For insulation.,Hair helps retain body heat.
Mammals,Why do mammals have a fat layer?,For insulation.,Fat reduces heat loss.
Monotremes,What are monotremes?,Egg-laying mammals.,They are the only living mammals that lay eggs.
Monotremes,Name two monotremes.,Platypus and echidna.,These are the two living monotreme groups.
Monotremes,How do young monotremes obtain milk?,They suckle milk from fur.,Milk is secreted onto the mother's fur.
Marsupials,What are marsupials?,Mammals whose young develop in a pouch.,Their offspring are born very immature.
Marsupials,What is a marsupium?,A pouch where young continue developing.,Marsupial offspring grow in the pouch after birth.
Eutherians,What are eutherians?,Placental mammals.,Most mammals belong to this group.
Eutherians,How do eutherians differ from marsupials?,They have longer pregnancies and more developed young at birth.,Placental development lasts longer.
