topic,question,answer,explanation
Primates,What are primates?,"Lemurs, monkeys, and apes.",These are the major primate groups listed in the review.
Primates,What adaptation do primates have?,Hands and feet for grasping.,Grasping helps primates climb and manipulate objects.
Primates,Which primates have opposable thumbs?,Monkeys and apes.,Opposable thumbs improve grip and precision.
Primates,What is an opposable thumb?,A thumb that can touch the other fingers.,It allows a stronger and more precise grip.
Primates,What social characteristic do primates have?,Complex social behavior.,Primates often live in organized social groups.
Primates,What type of parental care do primates have?,Well-developed parental care.,Young receive extended care and protection.
Apes,Name the apes listed in the review.,"Orangutans, gorillas, chimpanzees, and humans.",These are the major living apes listed in the review.
Apes,From what group did apes evolve?,Old World monkeys.,The review states that apes evolved from Old World monkeys.
Apes,How do apes differ from other primates?,Greater brain-to-body size ratio.,Apes have relatively larger brains than other primates.
Human Evolution,How similar are chimpanzee and human genomes?,About 99% identical.,Humans and chimpanzees share a close evolutionary relationship.
Human Evolution,What is a hominin?,An extinct species more closely related to humans than chimpanzees.,Hominins belong to the human lineage.
Human Evolution,Did early hominins evolve from chimpanzees?,No.,Humans and chimpanzees share a common ancestor.
Human Evolution,What is the only surviving hominin lineage?,Modern humans.,All other hominin lineages are extinct.
Human Evolution,Name two early hominins.,Ardipithecus and Australopithecus.,These are among the earliest members of the human lineage.
Human Evolution,What is bipedalism?,Walking on two legs.,Bi means two and pedal refers to feet.
Human Evolution,Why did hominins evolve bipedalism?,It was energy efficient in arid environments.,This is the reason given in the review notes.
Human Evolution,Name three early Homo species.,"Homo habilis, Homo ergaster, and Homo erectus.",These are the early Homo species listed in the review.
Human Evolution,Which hominin was the first to leave Africa?,Homo erectus.,Remember: Homo erectus exited Africa first.
Human Evolution,Did Homo sapiens evolve from Neanderthals?,No.,They were separate human lineages.
Human Evolution,Did Homo sapiens and Neanderthals likely mate?,Yes.,The review notes state they likely interbred.
Human Evolution,How old are the oldest Homo sapiens fossils?,About 195000 years old.,This is the age listed in the review notes.
Review,Which primates have opposable thumbs?,Monkeys and apes.,Opposable thumbs improve grasping ability.
Review,Which ape species is most closely related to humans?,Chimpanzees.,Humans and chimpanzees share about 99% of their DNA.
Review,What adaptation helped early humans walk efficiently?,Bipedalism.,Walking on two legs conserved energy.
Review,Which Homo species first migrated out of Africa?,Homo erectus.,Remember: Erectus exited Africa.
Review,Are modern humans the only surviving hominin lineage?,Yes.,All other hominin lineages are extinct.
Review,What two early hominin genera should you memorize?,Ardipithecus and Australopithecus.,They are the earliest hominins listed in the review.
Review,Which human species did not evolve from Neanderthals?,Homo sapiens.,Modern humans and Neanderthals were separate lineages.
Review,What evidence shows humans and Neanderthals interacted?,They likely mated.,The review notes state they likely interbred.
Review,Approximately how old are the earliest Homo sapiens fossils?,About 195000 years old.,This is the final fact listed in Chapter 34.
