topic,question,answer,explanation
Chordates,What is a chordate?,An animal with four chordate characteristics at some point in its life.,All chordates have these traits during development or adulthood.
Chordates,What are the four chordate characteristics?,Notochord; dorsal hollow nerve cord; pharyngeal slits; post-anal tail.,These four features define chordates.
Chordates,What is the notochord?,A flexible supporting rod.,It supports the embryo.
Chordates,What is the function of the notochord?,Supports the body.,Think of it as the embryo's support rod.
Chordates,What is the dorsal hollow nerve cord?,A hollow nerve cord along the back.,It develops into the brain and spinal cord.
Chordates,What does the dorsal hollow nerve cord become?,Brain and spinal cord.,It forms the CNS.
Chordates,What are pharyngeal slits?,Openings in the pharynx.,They are a defining chordate trait.
Chordates,What is a post-anal tail?,A tail beyond the anus.,Another defining chordate characteristic.
Chordates,Do all adult chordates keep all four characteristics?,No.,Some are present only during development.
Lancelets,What are lancelets?,Animals with the basic chordate body plan.,They represent simple chordates.
Lancelets,Why are lancelets important?,They show the basic chordate body plan.,Useful for understanding early chordates.
Tunicates,What are tunicates also called?,Sea squirts.,Their common name.
Tunicates,Are tunicate larvae mobile or sessile?,Mobile.,The larva resembles a basic chordate.
Tunicates,Are adult tunicates mobile?,"No, they are sessile.",Adults remain attached.
Tunicates,What structure do adult tunicates use?,Excurrent siphon.,Listed in the review notes.
Vertebrates,What special structure do vertebrates develop?,Neural crest.,A defining vertebrate feature.
Vertebrates,Where does the neural crest form?,Along the closing neural tube.,It develops at the tube edges.
Hagfish,Key characteristic of hagfish?,Slime glands.,They produce abundant slime.
Hagfish,Are hagfish basal vertebrates?,Yes.,They are among the earliest vertebrates.
Lampreys,What are lampreys?,External fish parasites.,They attach to fish.
Lampreys,Are lampreys parasites?,Yes.,They feed from fish.
Gnathostomes,What is a gnathostome?,A jawed vertebrate.,Gnatho means jaw.
Gnathostomes,Where did jaws evolve from?,Bones supporting pharyngeal slits.,Modified gill supports formed jaws.
Gnathostomes,What is the lateral line system?,A sensory system in aquatic vertebrates.,It detects water movement.
Gnathostomes,What does the lateral line detect?,Water movement.,It senses nearby activity.
Gnathostomes,What are placoderms?,Fossil jawed vertebrates.,Early gnathostomes.
Chondrichthyans,Name two chondrichthyans.,Sharks and rays.,Cartilaginous fishes.
Chondrichthyans,What type of skeleton do chondrichthyans have?,Cartilage with traces of bone.,Cartilage is lighter than bone.
Chondrichthyans,What body opening do sharks and rays have?,Cloaca.,Characteristic listed in the review.
Chondrichthyans,How do sharks move water over gills when not swimming?,Using jaw and pharynx muscles.,They actively pump water.
