topic,question,answer,explanation
Body Cavity,What is a coelom?,A fluid-filled body cavity.,It surrounds internal organs.
Body Cavity,What is a hemocoel?,A body cavity filled with hemolymph.,Common in animals with open circulation.
Body Cavity,What is hemolymph?,The circulatory fluid in open systems.,It functions like blood.
Body Cavity,What is an acoelomate?,An animal without a body cavity.,Flatworms are examples.
Body Cavity,What is a pseudocoelomate?,An animal with a pseudocoelom.,The cavity is not completely lined by mesoderm.
Body Cavity,What is a coelomate?,An animal with a true coelom.,The cavity is completely lined by mesoderm.
Protostomes,What is a protostome?,An animal whose blastopore becomes the mouth.,Proto means first; the mouth forms first.
Deuterostomes,What is a deuterostome?,An animal whose blastopore becomes the anus.,The mouth forms second.
Development,What is a blastopore?,The first opening formed during gastrulation.,Its fate differs in protostomes and deuterostomes.
Protostomes,What does the blastopore become in protostomes?,The mouth.,Proto = mouth first.
Deuterostomes,What does the blastopore become in deuterostomes?,The anus.,The mouth develops later.
Development,What type of cleavage occurs in protostomes?,Spiral cleavage.,Cells divide in a spiral pattern.
Development,What type of cleavage occurs in deuterostomes?,Radial cleavage.,Cells divide directly above one another.
Development,How does the coelom form in protostomes?,Schizocoely.,The mesoderm splits to form the coelom.
Development,How does the coelom form in deuterostomes?,Enterocoely.,The coelom forms from outpocketings of the gut.
Comparison,Protostome: mouth or anus first?,Mouth.,Remember: proto = mouth first.
Comparison,Deuterostome: mouth or anus first?,Anus.,The mouth develops second.
Comparison,Which cleavage is spiral?,Protostomes.,Spiral cleavage is a protostome trait.
Comparison,Which cleavage is radial?,Deuterostomes.,Radial cleavage is a deuterostome trait.
Comparison,Which coelom formation is schizocoely?,Protostomes.,The mesoderm splits.
Comparison,Which coelom formation is enterocoely?,Deuterostomes.,The gut outpockets.
Review,Which body cavity is completely lined by mesoderm?,True coelom.,This defines coelomates.
Review,Which body cavity lacks mesoderm lining completely?,Pseudocoelom.,Only partially lined by mesoderm.
Review,Which animals have no body cavity?,Acoelomates.,No coelom is present.
Review,What fills a hemocoel?,Hemolymph.,It bathes the organs directly.
Review,Which developmental opening becomes the mouth in protostomes?,Blastopore.,Its fate defines the group.
Review,Which developmental opening becomes the anus in deuterostomes?,Blastopore.,The mouth forms later.
Review,What are the three body cavity types?,"Acoelomate, pseudocoelomate, coelomate.",Know the differences.
Review,What are the two major developmental groups?,Protostomes and deuterostomes.,They differ in development.
Review,What are the key developmental differences?,"Blastopore fate, cleavage, and coelom formation.",These are the major exam comparisons.
